web-scraper-order,web-scraper-start-url,Name,Position,Team,W-val,L-val,ERA,G-val,GS-val,CG-val,SHO,SV-val,SVO,IP-val,H-val,R-val,ER-val,HR-val,HB-val,BB-val,SO-val,WHIP,AVG
1718121173-552,https://www.milb.com/stats/pitching?page=2,MichaelM PlassmeyerPlassmeyer,P,IND,1,6,8.74,10,10,0,0,0,0,35,49,36,34,8,3,8,45,1.63,0.327
1718121173-553,https://www.milb.com/stats/pitching?page=2,PaulP SkenesSkenes,P,IND,0,0,0.99,7,7,0,0,0,0,27.1,17,4,3,1,0,8,45,0.91,0.175
1718121173-554,https://www.milb.com/stats/pitching?page=2,RileyR ThompsonThompson,P,IOW,2,0,6.27,18,3,0,0,1,2,37.1,40,27,26,5,0,20,45,1.61,0.268
1718121173-555,https://www.milb.com/stats/pitching?page=2,ClaytonC BeeterBeeter,P,SWB,3,1,2.53,7,7,0,0,0,0,32,17,9,9,1,0,21,44,1.19,0.153
1718121173-556,https://www.milb.com/stats/pitching?page=2,YoendrysY GómezGómez,P,SWB,1,2,3.19,10,10,0,0,0,0,36.2,24,14,13,4,2,20,44,1.2,0.189
1718121173-557,https://www.milb.com/stats/pitching?page=2,RileyR MartinMartin,P,IOW,1,2,3.81,19,0,0,0,1,4,28.1,20,14,12,4,1,22,44,1.48,0.198
1718121173-558,https://www.milb.com/stats/pitching?page=2,LouieL VarlandVarland,P,STP,2,5,5.31,8,8,0,0,0,0,40.2,45,28,24,4,0,14,44,1.45,0.274
1718121177-559,https://www.milb.com/stats/pitching,ChayceC McDermottMcDermott,P,NOR,2,3,3.57,13,12,0,0,0,0,58,50,27,23,7,3,37,90,1.5,0.23
1718121177-560,https://www.milb.com/stats/pitching,CadeC PovichPovich,P,NOR,5,1,3.18,11,11,0,0,0,0,56.2,42,21,20,5,1,21,75,1.11,0.203
1718121177-561,https://www.milb.com/stats/pitching,DavidD FestaFesta,P,STP,1,2,3.56,12,12,0,0,0,0,48,43,19,19,6,1,24,71,1.4,0.242
1718121177-562,https://www.milb.com/stats/pitching,Carlos F.C RodriguezRodriguez,P,NAS,4,5,5.17,12,11,0,0,0,0,62.2,52,39,36,8,4,29,66,1.29,0.221
1718121177-563,https://www.milb.com/stats/pitching,WalterW PenningtonPennington,P,OMA,3,2,2.14,25,2,0,0,2,4,42,22,12,10,4,1,13,65,0.83,0.149
1718121177-564,https://www.milb.com/stats/pitching,SemS RobberseRobberse,P,MEM,5,4,4.46,12,10,1,0,0,1,66.2,59,35,33,12,0,20,65,1.19,0.237
1718121177-565,https://www.milb.com/stats/pitching,WillW WarrenWarren,P,SWB,4,4,7.24,12,12,0,0,0,0,54.2,59,46,44,13,5,24,62,1.52,0.273
1718121177-566,https://www.milb.com/stats/pitching,ChadC PatrickPatrick,P,NAS,6,1,2.83,11,10,0,0,0,0,60.1,49,20,19,8,3,20,61,1.14,0.221
1718121177-567,https://www.milb.com/stats/pitching,TylerT PhillipsPhillips,P,LHV,6,3,5.3,12,12,2,0,0,0,73,73,46,43,8,0,33,61,1.45,0.263
1718121177-568,https://www.milb.com/stats/pitching,RandyR DobnakDobnak,P,STP,4,5,5.02,13,11,0,0,0,0,57.1,61,38,32,7,6,27,60,1.53,0.27
1718121177-569,https://www.milb.com/stats/pitching,ConnorC GillispieGillispie,P,COL,2,5,5.02,13,8,0,0,0,0,57.1,59,39,32,15,3,27,60,1.5,0.266
1718121177-570,https://www.milb.com/stats/pitching,JoeJ RockRock,P,DUR,4,2,3.32,12,10,0,0,0,0,57,58,25,21,6,3,12,60,1.23,0.259
1718121177-571,https://www.milb.com/stats/pitching,GordonG GraceffoGraceffo,P,MEM,6,5,4.5,12,12,1,0,0,0,64,65,36,32,9,2,27,59,1.44,0.257
1718121177-572,https://www.milb.com/stats/pitching,ThomasT PannonePannone,P,IOW,4,5,4.22,13,13,1,0,0,0,64,64,34,30,9,4,19,58,1.3,0.262
1718121177-573,https://www.milb.com/stats/pitching,SamS McWilliamsMcWilliams,P,IOW,4,2,6.63,18,3,0,0,0,0,36.2,36,28,27,12,1,18,57,1.47,0.252
1718121177-574,https://www.milb.com/stats/pitching,EdgarE BarclayBarclay,P,SWB,3,4,6.51,12,12,0,0,0,0,56.2,61,44,41,13,1,32,55,1.64,0.27
1718121177-575,https://www.milb.com/stats/pitching,AdamA KloffensteinKloffenstein,P,MEM,2,4,4.5,12,12,0,0,0,0,66,49,33,33,11,7,25,55,1.12,0.21
1718121177-576,https://www.milb.com/stats/pitching,JustinJ ArmbruesterArmbruester,P,NOR,1,5,10.4,12,11,0,0,1,1,45,55,53,52,15,9,30,54,1.89,0.293
1718121177-577,https://www.milb.com/stats/pitching,BryanB SammonsSammons,P,TOL,4,3,3.29,11,11,0,0,0,0,54.2,42,22,20,5,2,21,54,1.15,0.206
1718121177-578,https://www.milb.com/stats/pitching,JonathanJ BowlanBowlan,P,OMA,6,3,6.31,11,11,0,0,0,0,51.1,54,40,36,10,1,20,53,1.44,0.267
1718121177-579,https://www.milb.com/stats/pitching,BrantB HurterHurter,P,TOL,1,3,5.06,11,11,0,0,0,0,42.2,47,27,24,6,4,13,52,1.41,0.269
1718121177-580,https://www.milb.com/stats/pitching,MichaelM McGreevyMcGreevy,P,MEM,3,6,5.01,13,13,1,0,0,0,70,78,41,39,7,0,21,52,1.41,0.278
1718121177-581,https://www.milb.com/stats/pitching,SpenserS WatkinsWatkins,P,ROC,3,2,4.43,13,11,0,0,0,0,61,64,33,30,7,4,21,52,1.39,0.266
1718121177-582,https://www.milb.com/stats/pitching,CalebC BoushleyBoushley,P,STP,6,1,3.86,10,10,0,0,0,0,53.2,49,24,23,7,0,7,51,1.04,0.24
1718121177-583,https://www.milb.com/stats/pitching,DylanD DoddDodd,P,GWN,2,6,5.01,12,10,0,0,0,0,59.1,68,38,33,7,1,20,51,1.48,0.287
