web-scraper-order,web-scraper-start-url,Team,G-val,AB-val,R-val,H-val,2B-val,3B-val,HR-val,RBI,BB-val,SO-val,SB-val,CS-val,AVG,OBP,SLG,OPS
1718120558-300,https://www.milb.com/stats/?page=6,BUF,57,212,41,71,22,2,4,38,44,41,3,3,0.335,0.456,0.514,0.97
1718120558-301,https://www.milb.com/stats/?page=6,IND,50,180,23,57,13,0,4,31,25,39,0,0,0.317,0.402,0.456,0.858
1718120558-302,https://www.milb.com/stats/?page=6,OMA,24,94,17,29,8,0,4,15,14,16,3,1,0.309,0.409,0.521,0.93
1718120558-303,https://www.milb.com/stats/?page=6,LOU,13,37,10,11,2,0,4,5,11,9,0,0,0.297,0.46,0.676,1.136
1718120558-304,https://www.milb.com/stats/?page=6,ROC,31,94,19,21,2,0,4,14,16,17,7,0,0.223,0.33,0.372,0.702
1718120558-305,https://www.milb.com/stats/?page=6,NAS,41,160,20,41,7,1,4,29,15,31,1,0,0.256,0.322,0.388,0.71
1718120558-306,https://www.milb.com/stats/?page=6,CLT,31,90,18,22,4,1,4,18,23,24,7,2,0.244,0.388,0.444,0.832
1718120558-307,https://www.milb.com/stats/?page=6,CLT,52,183,26,48,12,0,4,25,16,18,1,0,0.262,0.322,0.393,0.715
1718120562-308,https://www.milb.com/stats/?page=5,COL,40,145,22,37,7,1,6,22,11,35,3,1,0.255,0.312,0.441,0.753
1718120562-309,https://www.milb.com/stats/?page=5,LOU,48,160,24,32,7,1,6,25,11,32,3,0,0.2,0.253,0.369,0.622
1718120562-310,https://www.milb.com/stats/?page=5,CLT,39,138,16,34,4,0,6,25,9,34,0,2,0.246,0.291,0.406,0.697
1718120562-311,https://www.milb.com/stats/?page=5,DUR,55,206,33,55,13,1,6,26,12,44,6,2,0.267,0.309,0.427,0.736
1718120562-312,https://www.milb.com/stats/?page=5,CLT,16,67,13,19,5,0,6,14,8,14,0,1,0.284,0.355,0.627,0.982
1718120562-313,https://www.milb.com/stats/?page=5,WOR,20,74,12,17,4,0,6,10,15,27,3,0,0.23,0.36,0.527,0.887
1718120562-314,https://www.milb.com/stats/?page=5,SYR,31,116,21,33,5,1,6,30,16,38,0,0,0.284,0.376,0.5,0.876
1718120562-315,https://www.milb.com/stats/?page=5,TOL,45,137,22,41,10,0,6,27,17,40,11,3,0.299,0.383,0.504,0.887
1718120562-316,https://www.milb.com/stats/?page=5,MEM,48,146,25,37,6,2,6,24,29,31,4,4,0.253,0.398,0.445,0.843
1718120562-317,https://www.milb.com/stats/?page=5,CLT,46,160,25,39,7,2,5,21,28,38,6,2,0.244,0.358,0.406,0.764
1718120562-318,https://www.milb.com/stats/?page=5,IOW,26,110,22,28,9,2,5,14,6,32,10,0,0.255,0.299,0.509,0.808
1718120562-319,https://www.milb.com/stats/?page=5,ROC,55,168,35,43,7,2,5,20,36,29,6,2,0.256,0.397,0.411,0.808
1718120562-320,https://www.milb.com/stats/?page=5,GWN,51,176,17,39,3,0,5,18,20,36,1,0,0.222,0.305,0.324,0.629
1718120562-321,https://www.milb.com/stats/?page=5,LHV,43,170,19,44,5,0,5,25,14,44,0,1,0.259,0.319,0.376,0.695
1718120562-322,https://www.milb.com/stats/?page=5,LOU,55,211,24,55,17,0,5,29,21,64,0,1,0.261,0.333,0.412,0.745
1718120562-323,https://www.milb.com/stats/?page=5,STP,29,78,21,20,4,1,5,16,12,24,9,2,0.256,0.404,0.526,0.93
1718120562-324,https://www.milb.com/stats/?page=5,STP,40,136,16,31,7,0,5,20,20,28,2,1,0.228,0.325,0.39,0.715
1718120562-325,https://www.milb.com/stats/?page=5,LOU,43,156,23,48,7,1,5,23,17,32,5,2,0.308,0.388,0.462,0.85
1718120562-326,https://www.milb.com/stats/?page=5,STP,33,116,18,29,3,0,5,15,15,22,4,0,0.25,0.346,0.405,0.751
1718120562-327,https://www.milb.com/stats/?page=5,COL,37,128,22,33,6,1,5,18,17,30,8,4,0.258,0.362,0.438,0.8
1718120562-328,https://www.milb.com/stats/?page=5,NOR,34,123,18,34,6,0,5,25,13,34,0,1,0.276,0.345,0.447,0.792
1718120562-329,https://www.milb.com/stats/?page=5,DUR,29,107,19,30,6,1,5,15,10,25,2,2,0.28,0.358,0.495,0.853
1718120562-330,https://www.milb.com/stats/?page=5,ROC,30,107,11,33,6,0,5,22,8,16,5,1,0.308,0.353,0.505,0.858
1718120562-331,https://www.milb.com/stats/?page=5,LHV,39,115,23,24,3,0,5,18,19,45,1,1,0.209,0.336,0.365,0.701
1718120562-332,https://www.milb.com/stats/?page=5,IOW,32,111,17,33,6,0,5,17,15,32,10,1,0.297,0.392,0.486,0.878
1718120566-333,https://www.milb.com/stats/?page=4,BUF,46,147,22,32,7,0,7,29,22,55,2,1,0.218,0.326,0.408,0.734
1718120566-334,https://www.milb.com/stats/?page=4,MEM,55,206,32,47,10,1,7,28,15,52,5,3,0.228,0.299,0.388,0.687
1718120566-335,https://www.milb.com/stats/?page=4,OMA,50,188,41,52,14,2,7,33,20,57,9,5,0.277,0.35,0.484,0.834
1718120566-336,https://www.milb.com/stats/?page=4,TOL,40,150,28,38,7,4,6,22,25,40,16,5,0.253,0.36,0.473,0.833
1718120566-337,https://www.milb.com/stats/?page=4,BUF,53,155,33,46,5,1,6,25,20,46,27,7,0.297,0.381,0.458,0.839
1718120566-338,https://www.milb.com/stats/?page=4,IOW,55,196,25,56,13,1,6,33,39,67,5,2,0.286,0.412,0.454,0.866
1718120566-339,https://www.milb.com/stats/?page=4,NAS,55,194,42,56,18,3,6,40,34,41,9,3,0.289,0.402,0.505,0.907
1718120566-340,https://www.milb.com/stats/?page=4,SWB,44,145,28,36,9,3,6,23,20,48,6,3,0.248,0.347,0.476,0.823
1718120566-341,https://www.milb.com/stats/?page=4,OMA,40,144,28,46,15,0,6,30,11,32,9,1,0.319,0.368,0.549,0.917
1718120566-342,https://www.milb.com/stats/?page=4,MEM,32,104,27,36,10,0,6,20,19,5,10,0,0.346,0.461,0.615,1.076
1718120566-343,https://www.milb.com/stats/?page=4,LOU,24,91,15,27,4,0,6,15,12,20,2,0,0.297,0.381,0.538,0.919
1718120566-344,https://www.milb.com/stats/?page=4,SYR,37,127,27,39,10,1,6,21,26,37,0,0,0.307,0.419,0.543,0.962
1718120566-345,https://www.milb.com/stats/?page=4,TOL,49,177,27,41,10,1,6,24,21,56,0,0,0.232,0.312,0.401,0.713
1718120566-346,https://www.milb.com/stats/?page=4,BUF,47,143,32,38,5,0,6,18,27,30,2,0,0.266,0.41,0.427,0.837
1718120566-347,https://www.milb.com/stats/?page=4,BUF,44,171,25,57,7,0,6,27,19,29,4,2,0.333,0.406,0.48,0.886
1718120566-348,https://www.milb.com/stats/?page=4,TOL,45,150,23,38,15,0,6,27,39,52,3,3,0.253,0.41,0.473,0.883
1718120566-349,https://www.milb.com/stats/?page=4,OMA,46,151,31,45,9,0,6,27,29,43,2,0,0.298,0.422,0.477,0.899
1718120566-350,https://www.milb.com/stats/?page=4,TOL,26,104,17,28,5,2,6,15,14,25,11,2,0.269,0.361,0.529,0.89
1718120566-351,https://www.milb.com/stats/?page=4,SWB,49,173,30,44,12,0,6,34,35,56,4,0,0.254,0.384,0.428,0.812
1718120566-352,https://www.milb.com/stats/?page=4,TOL,46,156,26,41,11,2,6,23,20,43,10,5,0.263,0.347,0.474,0.821
1718120566-353,https://www.milb.com/stats/?page=4,IND,56,194,22,50,8,0,6,29,21,42,0,0,0.258,0.332,0.392,0.724
1718120566-354,https://www.milb.com/stats/?page=4,OMA,31,98,13,22,5,0,6,22,13,25,0,0,0.224,0.31,0.459,0.769
1718120566-355,https://www.milb.com/stats/?page=4,DUR,55,181,30,45,11,2,6,27,28,48,6,3,0.249,0.358,0.431,0.789
1718120566-356,https://www.milb.com/stats/?page=4,DUR,21,81,12,15,3,0,6,14,6,34,0,0,0.185,0.247,0.444,0.691
1718120566-357,https://www.milb.com/stats/?page=4,OMA,31,108,22,36,9,1,6,22,22,31,1,0,0.333,0.444,0.602,1.046
1718120587-358,https://www.milb.com/stats/?page=3,WOR,26,102,19,25,5,0,8,21,13,40,0,0,0.245,0.33,0.529,0.859
1718120587-359,https://www.milb.com/stats/?page=3,TOL,41,146,24,45,9,0,8,28,13,34,4,0,0.308,0.364,0.534,0.898
1718120587-360,https://www.milb.com/stats/?page=3,WOR,51,187,28,40,8,1,8,31,28,72,1,0,0.214,0.318,0.396,0.714
1718120587-361,https://www.milb.com/stats/?page=3,STP,46,182,31,55,11,4,8,43,27,50,16,3,0.302,0.39,0.538,0.928
1718120587-362,https://www.milb.com/stats/?page=3,TOL,50,162,26,42,12,0,8,30,18,47,13,2,0.259,0.333,0.481,0.814
1718120587-363,https://www.milb.com/stats/?page=3,CLT,21,68,16,19,6,0,8,20,8,17,2,2,0.279,0.364,0.721,1.085
1718120587-364,https://www.milb.com/stats/?page=3,DUR,58,223,42,54,13,2,8,23,37,84,18,1,0.242,0.352,0.426,0.778
1718120587-365,https://www.milb.com/stats/?page=3,LOU,32,114,20,29,7,0,8,21,14,37,1,0,0.254,0.341,0.526,0.867
1718120587-366,https://www.milb.com/stats/?page=3,COL,60,239,30,67,12,0,8,37,19,67,7,6,0.28,0.336,0.431,0.767
1718120587-367,https://www.milb.com/stats/?page=3,LHV,51,190,25,40,10,0,8,35,25,60,9,3,0.211,0.295,0.389,0.684
