"game_pk","gameGuid","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduleDate","rescheduleGameDate","status.reason","rescheduledFrom","rescheduledFromDate","description","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
664785,"645e14b2-5442-4962-a9c0-d0957e55013a","/api/v1.1/game/664785/feed/live","R","2022","2022-06-12T00:07:00Z","2022-06-11",FALSE,1,TRUE,"N","Y","N","44-664785-2022-06-11","2022","night",9,FALSE,120,6,5,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",7,FALSE,FALSE,10,35,24,".593",534,"Rochester Red Wings","/api/v1/teams/534",11,TRUE,FALSE,10,29,29,".500",1960,"St. Paul Saints","/api/v1/teams/1960",5472,"CHS Field","/api/v1/venues/5472","/api/v1/game/664785/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
666212,"ddf4811a-235c-4f16-916f-c969af7a5a84","/api/v1.1/game/666212/feed/live","R","2022","2022-06-12T00:35:00Z","2022-06-11",FALSE,1,TRUE,"N","E","N","44-666212-2022-06-11","2022","night",9,FALSE,120,6,5,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,10,25,34,".424",342,"Albuquerque Isotopes","/api/v1/teams/342",13,TRUE,FALSE,11,34,25,".576",4904,"El Paso Chihuahuas","/api/v1/teams/4904",4669,"Southwest University Park","/api/v1/venues/4669","/api/v1/game/666212/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664921,"b780f9a9-8798-47cf-9975-193f8895f0cf","/api/v1.1/game/664921/feed/live","R","2022","2022-06-12T01:37:00Z","2022-06-11",FALSE,1,TRUE,"N","E","N","44-664921-2022-06-11","2022","night",9,FALSE,120,6,5,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,10,33,26,".559",2310,"Reno Aces","/api/v1/teams/2310",4,TRUE,FALSE,10,23,36,".390",105,"Sacramento River Cats","/api/v1/teams/105",2529,"Sutter Health Park","/api/v1/venues/2529","/api/v1/game/664921/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
665578,"5bfb313e-b9da-4b90-b54d-b8f879c8e1cd","/api/v1.1/game/665578/feed/live","R","2022","2022-06-12T17:05:00Z","2022-06-12",FALSE,1,TRUE,"N","Y","N","44-665578-2022-06-12","2022","day",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",6,TRUE,FALSE,10,23,37,".383",494,"Charlotte Knights","/api/v1/teams/494",1,FALSE,FALSE,10,22,37,".373",416,"Louisville Bats","/api/v1/teams/416",2724,"Louisville Slugger Field","/api/v1/venues/2724","/api/v1/game/665578/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
666305,"9317c3a6-6b7d-4b92-89fc-62647922c71e","/api/v1.1/game/666305/feed/live","R","2022","2022-06-12T17:05:00Z","2022-06-12",FALSE,1,TRUE,"N","Y","N","44-666305-2022-06-12","2022","day",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",4,TRUE,FALSE,10,30,30,".500",533,"Worcester Red Sox","/api/v1/teams/533",3,FALSE,FALSE,10,33,26,".559",422,"Buffalo Bisons","/api/v1/teams/422",2756,"Sahlen Field","/api/v1/venues/2756","/api/v1/game/666305/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664607,"c6c4a346-e4e1-46bc-800e-1166e92866c6","/api/v1.1/game/664607/feed/live","R","2022","2022-06-12T17:05:00Z","2022-06-12",FALSE,1,TRUE,"N","Y","N","44-664607-2022-06-12","2022","day",9,FALSE,120,7,7,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,10,23,37,".383",531,"Scranton/Wilkes-Barre RailRiders","/api/v1/teams/531",10,TRUE,FALSE,10,21,38,".356",552,"Syracuse Mets","/api/v1/teams/552",2823,"NBT Bank Stadium","/api/v1/venues/2823","/api/v1/game/664607/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
665918,"f347f9ef-5d61-49d6-904e-cefdc535e981","/api/v1.1/game/665918/feed/live","R","2022","2022-06-12T17:35:00Z","2022-06-12",FALSE,1,TRUE,"N","Y","N","44-665918-2022-06-12","2022","day",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",11,TRUE,FALSE,10,35,25,".583",445,"Columbus Clippers","/api/v1/teams/445",5,FALSE,FALSE,10,30,28,".517",484,"Indianapolis Indians","/api/v1/teams/484",2858,"Victory Field","/api/v1/venues/2858","/api/v1/game/665918/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664478,"ebaf502c-ad07-4873-80de-4d41d31a8d98","/api/v1.1/game/664478/feed/live","R","2022","2022-06-12T18:05:00Z","2022-06-12",FALSE,1,TRUE,"N","Y","N","44-664478-2022-06-12","2022","day",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",9,FALSE,FALSE,10,26,33,".441",451,"Iowa Cubs","/api/v1/teams/451",14,TRUE,FALSE,10,30,28,".517",512,"Toledo Mud Hens","/api/v1/teams/512",2767,"Fifth Third Field","/api/v1/venues/2767","/api/v1/game/664478/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
665571,"a0bf1e4b-8c9b-469c-b3a2-28a6ac7ce9f9","/api/v1.1/game/665571/feed/live","R","2022","2022-06-12T19:05:00Z","2022-06-12",FALSE,1,TRUE,"N","Y","N","44-665571-2022-06-12","2022","day",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",4,FALSE,FALSE,10,31,29,".517",234,"Durham Bulls","/api/v1/teams/234",5,TRUE,FALSE,10,35,25,".583",235,"Memphis Redbirds","/api/v1/teams/235",2542,"AutoZone Park","/api/v1/venues/2542","/api/v1/game/665571/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
665334,"8c22a05e-f0cb-43c8-8b09-8176fd5d30f2","/api/v1.1/game/665334/feed/live","R","2022","2022-06-12T19:05:00Z","2022-06-12",FALSE,1,TRUE,"N","E","N","44-665334-2022-06-12","2022","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,11,31,29,".517",561,"Salt Lake Bees","/api/v1/teams/561",8,TRUE,FALSE,12,37,23,".617",238,"Oklahoma City Dodgers","/api/v1/teams/238",2843,"Chickasaw Bricktown Ballpark","/api/v1/venues/2843","/api/v1/game/665334/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
