"game_pk","gameGuid","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","description","rescheduleDate","rescheduleGameDate","status.reason","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
575184,"e000a761-de0f-4d79-8a0c-dc56fc69166d","/api/v1.1/game/575184/feed/live","R","2019","2019-06-05T23:05:00Z","2019-06-05",FALSE,1,TRUE,"N","Y","N","44-575184-2019-06-05","2019","night",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",7,TRUE,FALSE,18,25,33,".431",568,"Norfolk Tides","/api/v1/teams/568",2,FALSE,FALSE,18,34,25,".576",234,"Durham Bulls","/api/v1/teams/234",2541,"Durham Bulls Athletic Park","/api/v1/venues/2541","/api/v1/game/575184/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576101,"5ac21076-3dd1-4ba1-9678-1519ccd246d5","/api/v1.1/game/576101/feed/live","R","2019","2019-06-05T23:05:00Z","2019-06-05",FALSE,1,TRUE,"N","Y","N","44-576101-2019-06-05","2019","night",9,FALSE,120,4,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",13,TRUE,FALSE,18,26,31,".456",533,"Pawtucket Red Sox","/api/v1/teams/533",2,FALSE,FALSE,18,28,28,".500",1410,"Lehigh Valley IronPigs","/api/v1/teams/1410",3230,"Coca-Cola Park","/api/v1/venues/3230","/api/v1/game/576101/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
587417,"6efe715f-e21f-4eb9-9dc2-556847738a60","/api/v1.1/game/587417/feed/live","R","2019","2019-06-06T00:00:00Z","2019-06-05",FALSE,1,TRUE,"N","Y","N","44-587417-2019-06-05","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",0,FALSE,FALSE,16,25,28,".472",434,"Bravos de Leon","/api/v1/teams/434",29,TRUE,FALSE,16,29,21,".580",532,"Diablos Rojos del Mexico","/api/v1/teams/532",5340,"Estadio Alfredo Harp Helu","/api/v1/venues/5340","/api/v1/game/587417/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
587718,"175da5f9-a117-4261-9adc-571b44a2ba85","/api/v1.1/game/587718/feed/live","R","2019","2019-06-06T00:00:00Z","2019-06-05",FALSE,1,TRUE,"N","Y","N","44-587718-2019-06-05","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",5,FALSE,FALSE,18,32,21,".604",579,"Guerreros de Oaxaca","/api/v1/teams/579",6,TRUE,FALSE,18,29,24,".547",520,"Pericos de Puebla","/api/v1/teams/520",2869,"Estadio Hermanos Serdan","/api/v1/venues/2869","/api/v1/game/587718/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
579871,"bf99f1d2-33ae-4686-9614-bfc9abe0eff1","/api/v1.1/game/579871/feed/live","R","2019","2019-06-06T00:00:00Z","2019-06-05",FALSE,1,TRUE,"N","Y","N","44-579871-2019-06-05","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",10,TRUE,FALSE,15,30,30,".500",259,"Fresno Grizzlies","/api/v1/teams/259",4,FALSE,FALSE,14,33,27,".550",588,"New Orleans Baby Cakes","/api/v1/teams/588",2865,"Shrine on Airline","/api/v1/venues/2865","/api/v1/game/579871/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
580007,"9e41ca7c-c61c-474d-af7a-c835c5724afe","/api/v1.1/game/580007/feed/live","R","2019","2019-06-06T00:05:00Z","2019-06-05",FALSE,1,TRUE,"N","Y","N","44-580007-2019-06-05","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,15,27,33,".450",342,"Albuquerque Isotopes","/api/v1/teams/342",5,TRUE,FALSE,15,29,31,".483",541,"Omaha Storm Chasers","/api/v1/teams/541",4271,"Werner Park","/api/v1/venues/4271","/api/v1/game/580007/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
587898,"ef06f2c4-520e-4311-853a-8091fe2fecf1","/api/v1.1/game/587898/feed/live","R","2019","2019-06-06T00:30:00Z","2019-06-05",FALSE,1,TRUE,"N","Y","N","44-587898-2019-06-05","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",7,TRUE,FALSE,17,18,32,".360",447,"Algodoneros Union Laguna","/api/v1/teams/447",5,FALSE,FALSE,15,24,29,".453",502,"Saraperos de Saltillo","/api/v1/teams/502",2953,"Parque Francisco I. Madero","/api/v1/venues/2953","/api/v1/game/587898/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
587237,"f1e34afb-6e0d-4298-a8a2-422456c31bef","/api/v1.1/game/587237/feed/live","R","2019","2019-06-06T00:30:00Z","2019-06-05",FALSE,1,TRUE,"N","Y","N","44-587237-2019-06-05","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",7,TRUE,FALSE,16,31,22,".585",536,"Tecos de los Dos Laredos","/api/v1/teams/536",4,FALSE,FALSE,17,36,17,".679",560,"Acereros del Norte","/api/v1/teams/560",2950,"Estadio Monclova","/api/v1/venues/2950","/api/v1/game/587237/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
587477,"059c5ea7-0b16-4c7b-9962-b72b57ff5485","/api/v1.1/game/587477/feed/live","R","2019","2019-06-06T00:30:00Z","2019-06-05",FALSE,1,TRUE,"N","Y","N","44-587477-2019-06-05","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",5,FALSE,FALSE,17,24,29,".453",528,"Rieleros de Aguascalientes","/api/v1/teams/528",14,TRUE,FALSE,18,20,33,".377",4444,"Generales de Durango","/api/v1/teams/4444",5321,"Estadio Francisco Villa","/api/v1/venues/5321","/api/v1/game/587477/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
587658,"22c16ce2-6382-4293-b9ed-4d9cb2d0cd6b","/api/v1.1/game/587658/feed/live","R","2019","2019-06-06T01:00:00Z","2019-06-05",FALSE,1,TRUE,"N","Y","N","44-587658-2019-06-05","2019","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",17,TRUE,FALSE,18,17,34,".333",523,"Piratas de Campeche","/api/v1/teams/523",9,FALSE,FALSE,16,19,34,".358",442,"Olmecas de Tabasco","/api/v1/teams/442",2955,"Parque Centenario 27 de Febrero","/api/v1/venues/2955","/api/v1/game/587658/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
