"game_pk","gameGuid","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","rescheduledFrom","rescheduledFromDate","description","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","status.reason","rescheduleDate","rescheduleGameDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
723175,"2018dcb9-6c4b-409b-aba8-4a6a38713dd2","/api/v1.1/game/723175/feed/live","R","2023","2023-04-08T22:35:00Z","2023-04-08",FALSE,1,TRUE,"N","E","N","44-723175-2023-04-08","2023","night",9,FALSE,120,5,4,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",2,FALSE,FALSE,2,2,5,".286",431,"Gwinnett Stripers","/api/v1/teams/431",21,TRUE,FALSE,2,6,1,".857",568,"Norfolk Tides","/api/v1/teams/568",2781,"Harbor Park","/api/v1/venues/2781","/api/v1/game/723175/content",NA,NA,NA,NA,NA,NA,NA
721425,"d9106122-e9e9-4f32-9426-984f62a94848","/api/v1.1/game/721425/feed/live","R","2023","2023-04-08T23:05:00Z","2023-04-08",FALSE,1,TRUE,"Y","E","N","44-721425-2023-04-08","2023","night",7,FALSE,120,5,3,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",4,TRUE,FALSE,2,3,3,".500",102,"Round Rock Express","/api/v1/teams/102",0,FALSE,FALSE,2,3,3,".500",5434,"Sugar Land Space Cowboys","/api/v1/teams/5434",5421,"Constellation Field","/api/v1/venues/5421","/api/v1/game/721425/content",NA,NA,NA,NA,NA,NA,NA
721431,"902d7573-5aa7-457e-9b1b-8fd085695931","/api/v1.1/game/721431/feed/live","R","2023","2023-04-08T23:10:00Z","2023-04-08",FALSE,2,TRUE,"Y","E","N","44-721431-2023-04-08","2023","night",7,FALSE,120,5,4,"Regular Season","S","N","Normal Game","2023-04-06T23:35:00Z","2023-04-06","Makeup of 4/6 PPD","Final","F","Final","F",TRUE,"F",3,TRUE,FALSE,2,4,3,".571",102,"Round Rock Express","/api/v1/teams/102",2,FALSE,FALSE,2,3,4,".429",5434,"Sugar Land Space Cowboys","/api/v1/teams/5434",5421,"Constellation Field","/api/v1/venues/5421","/api/v1/game/721431/content",NA,NA,NA,NA,NA,NA,NA
722030,"456d3de9-232e-4a95-a8cb-28467a15f553","/api/v1.1/game/722030/feed/live","R","2023","2023-04-09T00:35:00Z","2023-04-08",FALSE,1,TRUE,"N","E","N","44-722030-2023-04-08","2023","night",9,FALSE,120,6,5,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",6,FALSE,FALSE,2,5,3,".625",561,"Salt Lake Bees","/api/v1/teams/561",9,TRUE,FALSE,2,4,4,".500",342,"Albuquerque Isotopes","/api/v1/teams/342",2683,"Isotopes Park","/api/v1/venues/2683","/api/v1/game/722030/content",NA,NA,NA,NA,NA,NA,NA
721349,"6560b627-fa57-4af7-ac53-e08d8a1d7f69","/api/v1.1/game/721349/feed/live","R","2023","2023-04-09T01:05:00Z","2023-04-08",FALSE,1,TRUE,"N","E","N","44-721349-2023-04-08","2023","night",9,FALSE,120,5,5,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",19,TRUE,FALSE,2,3,5,".375",2310,"Reno Aces","/api/v1/teams/2310",4,FALSE,FALSE,2,5,3,".625",529,"Tacoma Rainiers","/api/v1/teams/529",2745,"Cheney Stadium","/api/v1/venues/2745","/api/v1/game/721349/content",NA,NA,NA,NA,NA,NA,NA
721582,"cfc170c3-e076-4850-942b-e65f384d2f38","/api/v1.1/game/721582/feed/live","R","2023","2023-04-09T01:37:00Z","2023-04-08",FALSE,1,TRUE,"N","E","N","44-721582-2023-04-08","2023","night",9,FALSE,120,6,5,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",4,FALSE,FALSE,2,3,5,".375",4904,"El Paso Chihuahuas","/api/v1/teams/4904",12,TRUE,FALSE,2,4,4,".500",105,"Sacramento River Cats","/api/v1/teams/105",2529,"Sutter Health Park","/api/v1/venues/2529","/api/v1/game/721582/content",NA,NA,NA,NA,NA,NA,NA
721878,"dec7e30a-7fa2-4136-8c64-fbc1d2bafeb5","/api/v1.1/game/721878/feed/live","R","2023","2023-04-09T02:05:00Z","2023-04-08",FALSE,1,TRUE,"N","E","N","44-721878-2023-04-08","2023","night",9,FALSE,120,6,5,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,2,6,2,".750",238,"Oklahoma City Dodgers","/api/v1/teams/238",9,TRUE,FALSE,2,2,6,".250",400,"Las Vegas Aviators","/api/v1/teams/400",5355,"Las Vegas Ballpark","/api/v1/venues/5355","/api/v1/game/721878/content",NA,NA,NA,NA,NA,NA,NA
725389,"216a9921-5cb1-49a6-9b78-122bf108d909","/api/v1.1/game/725389/feed/live","R","2023","2023-04-08T22:35:00Z","2023-05-31",NA,1,TRUE,"N","E","N","44-725389-2023-04-08","2023","night",7,FALSE,120,6,5,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","D","Postponed","DR",FALSE,"F",NA,NA,FALSE,2,29,23,".558",234,"Durham Bulls","/api/v1/teams/234",NA,NA,FALSE,2,23,28,".451",564,"Jacksonville Jumbo Shrimp","/api/v1/teams/564",2852,"121 Financial Ballpark","/api/v1/venues/2852","/api/v1/game/725389/content","Rain","2023-05-31T21:35:00Z","2023-05-31",NA,NA,NA,NA
723885,"010ff291-bf57-47f7-8d91-6555c571db12","/api/v1.1/game/723885/feed/live","R","2023","2023-04-09T16:05:00Z","2023-04-09",FALSE,1,TRUE,"Y","E","N","44-723885-2023-04-09","2023","day",7,FALSE,120,5,4,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,2,5,2,".714",533,"Worcester Red Sox","/api/v1/teams/533",2,TRUE,FALSE,2,3,4,".429",422,"Buffalo Bisons","/api/v1/teams/422",2756,"Sahlen Field","/api/v1/venues/2756","/api/v1/game/723885/content",NA,NA,NA,NA,NA,NA,NA
723892,"6ea76e45-cc23-45da-85b4-fcc7dba07934","/api/v1.1/game/723892/feed/live","R","2023","2023-04-09T16:10:00Z","2023-04-09",FALSE,2,TRUE,"Y","E","N","44-723892-2023-04-09","2023","day",7,FALSE,120,5,5,"Regular Season","S","N","Normal Game","2023-04-05T16:10:00Z","2023-04-05","Makeup of 4/4 PPD","Final","F","Final","F",TRUE,"F",1,FALSE,FALSE,2,5,3,".625",533,"Worcester Red Sox","/api/v1/teams/533",2,TRUE,FALSE,2,4,4,".500",422,"Buffalo Bisons","/api/v1/teams/422",2756,"Sahlen Field","/api/v1/venues/2756","/api/v1/game/723892/content",NA,NA,NA,NA,NA,NA,NA
