"game_pk","gameGuid","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","description","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduleDate","rescheduleGameDate","status.reason","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
645361,"f3f2b99d-7be1-4833-bd0b-ab4590b567af","/api/v1.1/game/645361/feed/live","R","2021","2021-09-21T00:05:00Z","2021-09-20",FALSE,1,TRUE,"N","Y","N","44-645361-2021-09-20","2021","night",9,FALSE,120,6,5,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",10,TRUE,FALSE,20,61,57,".517",102,"Round Rock Express","/api/v1/teams/102",1,FALSE,FALSE,20,60,58,".508",238,"Oklahoma City Dodgers","/api/v1/teams/238",2843,"Chickasaw Bricktown Ballpark","/api/v1/venues/2843","/api/v1/game/645361/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
644715,"27ed0195-731a-40dd-9ce2-f9862465f873","/api/v1.1/game/644715/feed/live","R","2021","2021-09-21T00:05:00Z","2021-09-20",FALSE,1,TRUE,"N","Y","N","44-644715-2021-09-20","2021","night",9,FALSE,120,6,5,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,20,52,67,".437",342,"Albuquerque Isotopes","/api/v1/teams/342",5,TRUE,FALSE,20,70,49,".588",5434,"Sugar Land Skeeters","/api/v1/teams/5434",5421,"Constellation Field","/api/v1/venues/5421","/api/v1/game/644715/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
645655,"b289b544-d121-4bc9-a362-65b357ff6eb7","/api/v1.1/game/645655/feed/live","R","2021","2021-09-21T00:35:00Z","2021-09-20",FALSE,1,TRUE,"N","Y","N","44-645655-2021-09-20","2021","night",9,FALSE,120,6,5,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",7,TRUE,FALSE,20,73,46,".613",529,"Tacoma Rainiers","/api/v1/teams/529",2,FALSE,FALSE,20,45,74,".378",4904,"El Paso Chihuahuas","/api/v1/teams/4904",4669,"Southwest University Park","/api/v1/venues/4669","/api/v1/game/645655/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
645261,"1ba2a574-d676-4a3d-a6be-ed6fe0ec5927","/api/v1.1/game/645261/feed/live","R","2021","2021-09-21T01:35:00Z","2021-09-20",FALSE,1,TRUE,"N","Y","N","44-645261-2021-09-20","2021","night",9,FALSE,120,6,5,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",10,TRUE,FALSE,20,49,69,".415",561,"Salt Lake Bees","/api/v1/teams/561",8,FALSE,FALSE,20,68,49,".581",2310,"Reno Aces","/api/v1/teams/2310",3789,"Greater Nevada Field","/api/v1/venues/3789","/api/v1/game/645261/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
644994,"4df46758-f33e-47e3-9a92-95e34a8c2341","/api/v1.1/game/644994/feed/live","R","2021","2021-09-21T02:05:00Z","2021-09-20",FALSE,1,TRUE,"N","Y","N","44-644994-2021-09-20","2021","night",9,FALSE,120,6,5,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",5,TRUE,FALSE,20,62,57,".521",400,"Las Vegas Aviators","/api/v1/teams/400",2,FALSE,FALSE,20,51,65,".440",105,"Sacramento River Cats","/api/v1/teams/105",2529,"Sutter Health Park","/api/v1/venues/2529","/api/v1/game/644994/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
645358,"cce9d5d8-fc6c-4c10-8ac5-ad8027afe106","/api/v1.1/game/645358/feed/live","R","2021","2021-09-21T17:05:00Z","2021-09-21",FALSE,1,TRUE,"N","Y","N","44-645358-2021-09-21","2021","day",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,20,61,58,".513",102,"Round Rock Express","/api/v1/teams/102",3,TRUE,FALSE,20,61,58,".513",238,"Oklahoma City Dodgers","/api/v1/teams/238",2843,"Chickasaw Bricktown Ballpark","/api/v1/venues/2843","/api/v1/game/645358/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
660755,"711f1c48-1f7a-49db-bcc7-9b547f9a65fc","/api/v1.1/game/660755/feed/live","R","2021","2021-09-21T23:05:00Z","2021-09-21",FALSE,1,TRUE,"N","Y","N","44-660755-2021-09-21","2021","night",9,FALSE,120,5,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,21,57,64,".471",235,"Memphis Redbirds","/api/v1/teams/235",5,TRUE,FALSE,21,70,51,".579",564,"Jacksonville Jumbo Shrimp","/api/v1/teams/564",2852,"121 Financial Ballpark","/api/v1/venues/2852","/api/v1/game/660755/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
644718,"1675522c-489c-4c9c-9ae2-044fddd997b2","/api/v1.1/game/644718/feed/live","R","2021","2021-09-22T00:05:00Z","2021-09-21",FALSE,1,TRUE,"N","Y","N","44-644718-2021-09-21","2021","night",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",7,FALSE,FALSE,20,52,68,".433",342,"Albuquerque Isotopes","/api/v1/teams/342",8,TRUE,FALSE,20,71,49,".592",5434,"Sugar Land Skeeters","/api/v1/teams/5434",5421,"Constellation Field","/api/v1/venues/5421","/api/v1/game/644718/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
645652,"78313cd3-571b-4a79-930a-7e851c598428","/api/v1.1/game/645652/feed/live","R","2021","2021-09-22T00:35:00Z","2021-09-21",FALSE,1,TRUE,"N","Y","N","44-645652-2021-09-21","2021","night",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",4,FALSE,FALSE,20,73,47,".608",529,"Tacoma Rainiers","/api/v1/teams/529",8,TRUE,FALSE,20,46,74,".383",4904,"El Paso Chihuahuas","/api/v1/teams/4904",4669,"Southwest University Park","/api/v1/venues/4669","/api/v1/game/645652/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
645258,"36e38385-8f65-44cf-b1d1-0a3d2e2c9156","/api/v1.1/game/645258/feed/live","R","2021","2021-09-22T01:35:00Z","2021-09-21",FALSE,1,TRUE,"N","Y","N","44-645258-2021-09-21","2021","night",9,FALSE,120,6,6,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",4,FALSE,FALSE,20,49,70,".412",561,"Salt Lake Bees","/api/v1/teams/561",19,TRUE,FALSE,20,69,49,".585",2310,"Reno Aces","/api/v1/teams/2310",3789,"Greater Nevada Field","/api/v1/venues/3789","/api/v1/game/645258/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
