game_pk,gameGuid,link,gameType,season,gameDate,officialDate,isTie,gameNumber,publicFacing,doubleHeader,gamedayType,tiebreaker,calendarEventID,seasonDisplay,dayNight,scheduledInnings,reverseHomeAwayStatus,inningBreakLength,gamesInSeries,seriesGameNumber,seriesDescription,recordSource,ifNecessary,ifNecessaryDescription,description,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,status.abstractGameCode,teams.away.score,teams.away.isWinner,teams.away.splitSquad,teams.away.seriesNumber,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.pct,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.isWinner,teams.home.splitSquad,teams.home.seriesNumber,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.pct,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link,rescheduleDate,rescheduleGameDate,status.reason,rescheduledFrom,rescheduledFromDate,resumeDate,resumeGameDate,resumedFrom,resumedFromDate,game_date,day_of_week,robot_umpire
659033,15b022b8-93bc-42df-bc92-e67cebbfe2c8,/api/v1.1/game/659033/feed/live,R,2021,2021-09-30T00:05:00Z,2021-09-29,False,1,True,N,Y,N,44-659033-2021-09-29,2021,night,9,False,120.0,5.0,1.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,5.0,True,False,22.0,65,60,0.52,102,Round Rock Express,/api/v1/teams/102,1.0,False,False,22.0,73,53,0.579,5434,Sugar Land Skeeters,/api/v1/teams/5434,5421,Constellation Field,/api/v1/venues/5421,/api/v1/game/659033/content,,,,,,,,,,2021-09-29,Wednesday,True
659048,3def4f3f-3b70-4fc1-acec-628080992c03,/api/v1.1/game/659048/feed/live,R,2021,2021-09-30T01:05:00Z,2021-09-29,False,1,True,N,Y,N,44-659048-2021-09-29,2021,night,9,False,120.0,5.0,1.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,9.0,True,False,22.0,65,61,0.516,400,Las Vegas Aviators,/api/v1/teams/400,2.0,False,False,22.0,70,54,0.565,2310,Reno Aces,/api/v1/teams/2310,3789,Greater Nevada Field,/api/v1/venues/3789,/api/v1/game/659048/content,,,,,,,,,,2021-09-29,Wednesday,True
660746,753ce2de-e9d3-4c7f-b853-5fa8901c74fa,/api/v1.1/game/660746/feed/live,R,2021,2021-09-30T02:05:00Z,2021-09-29,False,1,True,N,Y,N,44-660746-2021-09-29,2021,night,9,False,120.0,5.0,1.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,11.0,True,False,22.0,57,69,0.452,342,Albuquerque Isotopes,/api/v1/teams/342,3.0,False,False,22.0,53,70,0.431,105,Sacramento River Cats,/api/v1/teams/105,2529,Sutter Health Park,/api/v1/venues/2529,/api/v1/game/660746/content,,,,,,,,,,2021-09-29,Wednesday,True
659028,5a89eb45-1cd1-45bb-a5b9-c098f8128fd5,/api/v1.1/game/659028/feed/live,R,2021,2021-09-30T02:05:00Z,2021-09-29,False,1,True,N,Y,N,44-659028-2021-09-29,2021,night,9,False,120.0,5.0,1.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,0.0,False,False,22.0,53,72,0.424,561,Salt Lake Bees,/api/v1/teams/561,4.0,True,False,22.0,76,50,0.603,529,Tacoma Rainiers,/api/v1/teams/529,2745,Cheney Stadium,/api/v1/venues/2745,/api/v1/game/659028/content,,,,,,,,,,2021-09-29,Wednesday,True
658985,3f0b1e5c-9385-4a69-ad80-a521b46335f8,/api/v1.1/game/658985/feed/live,R,2021,2021-09-30T16:05:00Z,2021-09-30,False,1,True,N,Y,N,44-658985-2021-09-30,2021,day,9,False,120.0,5.0,2.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,8.0,True,False,22.0,84,43,0.661,234,Durham Bulls,/api/v1/teams/234,0.0,False,False,22.0,51,76,0.402,568,Norfolk Tides,/api/v1/teams/568,2781,Harbor Park,/api/v1/venues/2781,/api/v1/game/658985/content,,,,,,,,,,2021-09-30,Thursday,True
659095,99ade812-917e-42f1-97c0-b489c4f11ba3,/api/v1.1/game/659095/feed/live,R,2021,2021-09-30T22:05:00Z,2021-09-30,False,1,True,N,Y,N,44-659095-2021-09-30,2021,night,9,False,120.0,5.0,2.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,6.0,True,False,22.0,72,52,0.581,531,Scranton/Wilkes-Barre RailRiders,/api/v1/teams/531,4.0,False,False,22.0,49,74,0.398,534,Rochester Red Wings,/api/v1/teams/534,2773,Frontier Field,/api/v1/venues/2773,/api/v1/game/659095/content,,,,,,,,,,2021-09-30,Thursday,True
660759,17908903-e07c-4911-96c4-df016b7d2364,/api/v1.1/game/660759/feed/live,R,2021,2021-09-30T22:15:00Z,2021-09-30,False,1,True,N,Y,N,44-660759-2021-09-30,2021,night,9,False,120.0,5.0,2.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,5.0,True,False,22.0,55,71,0.437,416,Louisville Bats,/api/v1/teams/416,2.0,False,False,22.0,57,68,0.456,445,Columbus Clippers,/api/v1/teams/445,3970,Huntington Park,/api/v1/venues/3970,/api/v1/game/660759/content,,,,,,,,,,2021-09-30,Thursday,True
659080,02bfeb9e-aae3-44b5-8d45-7bec901b2523,/api/v1.1/game/659080/feed/live,R,2021,2021-09-30T22:35:00Z,2021-09-30,False,1,True,N,Y,N,44-659080-2021-09-30,2021,night,9,False,120.0,5.0,2.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,8.0,True,False,22.0,77,47,0.621,422,Buffalo Bisons,/api/v1/teams/422,5.0,False,False,22.0,50,73,0.407,552,Syracuse Mets,/api/v1/teams/552,2823,NBT Bank Stadium,/api/v1/venues/2823,/api/v1/game/659080/content,,,,,,,,,,2021-09-30,Thursday,True
659075,19ac4f65-b80a-41a9-ad2a-efdfda7a95aa,/api/v1.1/game/659075/feed/live,R,2021,2021-09-30T22:35:00Z,2021-09-30,False,1,True,N,Y,N,44-659075-2021-09-30,2021,night,9,False,120.0,5.0,2.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,2.0,True,False,22.0,66,61,0.52,1960,St. Paul Saints,/api/v1/teams/1960,0.0,False,False,22.0,72,55,0.567,512,Toledo Mud Hens,/api/v1/teams/512,2767,Fifth Third Field,/api/v1/venues/2767,/api/v1/game/659075/content,,,,,,,,,,2021-09-30,Thursday,True
659007,46ffce3d-529b-4107-88f3-f4bd3f87f018,/api/v1.1/game/659007/feed/live,R,2021,2021-09-30T23:05:00Z,2021-09-30,False,1,True,N,Y,N,44-659007-2021-09-30,2021,night,9,False,120.0,5.0,2.0,Regular Season,S,N,Normal Game,,Final,F,Final,F,False,F,8.0,True,False,22.0,69,57,0.548,556,Nashville Sounds,/api/v1/teams/556,3.0,False,False,22.0,60,66,0.476,484,Indianapolis Indians,/api/v1/teams/484,2858,Victory Field,/api/v1/venues/2858,/api/v1/game/659007/content,,,,,,,,,,2021-09-30,Thursday,True
