game_pk,gameGuid,link,gameType,season,gameDate,officialDate,isTie,gameNumber,publicFacing,doubleHeader,gamedayType,tiebreaker,calendarEventID,seasonDisplay,dayNight,scheduledInnings,reverseHomeAwayStatus,inningBreakLength,gamesInSeries,seriesGameNumber,seriesDescription,recordSource,ifNecessary,ifNecessaryDescription,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,status.abstractGameCode,teams.away.score,teams.away.isWinner,teams.away.splitSquad,teams.away.seriesNumber,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.pct,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.isWinner,teams.home.splitSquad,teams.home.seriesNumber,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.pct,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link,rescheduleDate,rescheduleGameDate,status.reason,rescheduledFrom,rescheduledFromDate,description,resumeDate,resumeGameDate,resumedFrom,resumedFromDate,game_date,day_of_week,robot_umpire
664264,4a477cc2-74f2-40c5-abe2-a1a71f2a600c,/api/v1.1/game/664264/feed/live,R,2022,2022-05-15T17:10:00Z,2022-05-15,False,2,True,Y,Y,N,44-664264-2022-05-15,2022,day,7,False,120.0,6.0,6.0,Regular Season,S,N,Normal Game,Final,F,Final,F,True,F,4.0,False,False,6.0,15,19,0.441,1960,St. Paul Saints,/api/v1/teams/1960,5.0,True,False,6.0,24,12,0.667,445,Columbus Clippers,/api/v1/teams/445,3970,Huntington Park,/api/v1/venues/3970,/api/v1/game/664264/content,,,,2022-05-14T23:05:00Z,2022-05-14,Makeup of 5/14 PPD,,,,,2022-05-15,Sunday,False
665652,861936f4-ad4d-4211-883d-a2920e97af34,/api/v1.1/game/665652/feed/live,R,2022,2022-05-15T17:35:00Z,2022-05-15,False,1,True,Y,Y,N,44-665652-2022-05-15,2022,day,7,False,120.0,6.0,5.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,10.0,True,False,6.0,20,15,0.571,422,Buffalo Bisons,/api/v1/teams/422,5.0,False,False,6.0,18,17,0.514,1410,Lehigh Valley IronPigs,/api/v1/teams/1410,3230,Coca-Cola Park,/api/v1/venues/3230,/api/v1/game/665652/content,,,,,,,,,,,2022-05-15,Sunday,False
665653,1831bbc2-a97b-47bb-bde2-af10f9dd0a15,/api/v1.1/game/665653/feed/live,R,2022,2022-05-15T17:40:00Z,2022-05-15,False,2,True,Y,Y,N,44-665653-2022-05-15,2022,day,7,False,120.0,6.0,6.0,Regular Season,S,N,Normal Game,Final,F,Final,F,True,F,5.0,False,False,6.0,20,16,0.556,422,Buffalo Bisons,/api/v1/teams/422,7.0,True,False,6.0,19,17,0.528,1410,Lehigh Valley IronPigs,/api/v1/teams/1410,3230,Coca-Cola Park,/api/v1/venues/3230,/api/v1/game/665653/content,,,,2022-05-14T22:35:00Z,2022-05-14,Makeup of 5/14 PPD,,,,,2022-05-15,Sunday,False
665025,f25a2afc-55e1-449e-ab20-5483dce25010,/api/v1.1/game/665025/feed/live,R,2022,2022-05-15T18:05:00Z,2022-05-15,False,1,True,N,E,N,44-665025-2022-05-15,2022,day,9,False,120.0,6.0,6.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,13.0,False,False,6.0,22,14,0.611,238,Oklahoma City Dodgers,/api/v1/teams/238,14.0,True,False,6.0,21,15,0.583,102,Round Rock Express,/api/v1/teams/102,2528,Dell Diamond,/api/v1/venues/2528,/api/v1/game/665025/content,,,,,,,,,,,2022-05-15,Sunday,False
664357,330ccecd-efae-46f9-a4ae-5ce1b465e904,/api/v1.1/game/664357/feed/live,R,2022,2022-05-15T18:05:00Z,2022-05-15,False,1,True,N,E,N,44-664357-2022-05-15,2022,day,9,False,120.0,6.0,6.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,11.0,True,False,6.0,18,18,0.5,105,Sacramento River Cats,/api/v1/teams/105,8.0,False,False,6.0,20,16,0.556,4904,El Paso Chihuahuas,/api/v1/teams/4904,4669,Southwest University Park,/api/v1/venues/4669,/api/v1/game/664357/content,,,,,,,,,,,2022-05-15,Sunday,False
665899,b9b56153-4318-4e95-93a6-f30e7024cd19,/api/v1.1/game/665899/feed/live,R,2022,2022-05-15T18:08:00Z,2022-05-15,False,1,True,N,Y,N,44-665899-2022-05-15,2022,day,9,False,120.0,6.0,6.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,0.0,False,False,6.0,16,19,0.457,541,Omaha Storm Chasers,/api/v1/teams/541,8.0,True,False,6.0,19,16,0.543,451,Iowa Cubs,/api/v1/teams/451,2844,Principal Park,/api/v1/venues/2844,/api/v1/game/665899/content,,,,,,,,,,,2022-05-15,Sunday,False
665733,af144144-3e08-43df-9372-38fa48152d9f,/api/v1.1/game/665733/feed/live,R,2022,2022-05-15T19:05:00Z,2022-05-15,False,1,True,N,E,N,44-665733-2022-05-15,2022,day,9,False,120.0,6.0,6.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,7.0,False,False,6.0,19,17,0.528,561,Salt Lake Bees,/api/v1/teams/561,12.0,True,False,6.0,20,16,0.556,400,Las Vegas Aviators,/api/v1/teams/400,5355,Las Vegas Ballpark,/api/v1/venues/5355,/api/v1/game/665733/content,,,,,,,,,,,2022-05-15,Sunday,False
664259,df8ee507-e74c-4020-af2d-803b851adcec,/api/v1.1/game/664259/feed/live,R,2022,2022-05-15T19:35:00Z,2022-05-15,False,1,True,N,E,N,44-664259-2022-05-15,2022,day,9,False,120.0,6.0,6.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,3.0,False,False,6.0,15,21,0.417,5434,Sugar Land Space Cowboys,/api/v1/teams/5434,4.0,True,False,6.0,16,20,0.444,342,Albuquerque Isotopes,/api/v1/teams/342,2683,Isotopes Park,/api/v1/venues/2683,/api/v1/game/664259/content,,,,,,,,,,,2022-05-15,Sunday,False
664334,fa9801ba-3e51-4664-a204-509f6304bff7,/api/v1.1/game/664334/feed/live,R,2022,2022-05-15T20:35:00Z,2022-05-15,False,1,True,N,E,N,44-664334-2022-05-15,2022,day,9,False,120.0,6.0,6.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,4.0,True,False,6.0,18,18,0.5,2310,Reno Aces,/api/v1/teams/2310,3.0,False,False,6.0,11,25,0.306,529,Tacoma Rainiers,/api/v1/teams/529,2745,Cheney Stadium,/api/v1/venues/2745,/api/v1/game/664334/content,,,,,,,,,,,2022-05-15,Sunday,False
666179,73831dfe-5782-4c7f-8d6f-b32fbb2a53b8,/api/v1.1/game/666179/feed/live,R,2022,2022-05-15T21:05:00Z,2022-05-15,False,1,True,N,Y,N,44-666179-2022-05-15,2022,night,9,False,120.0,6.0,6.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,4.0,False,False,6.0,17,19,0.472,431,Gwinnett Stripers,/api/v1/teams/431,6.0,True,False,6.0,16,20,0.444,234,Durham Bulls,/api/v1/teams/234,2541,Durham Bulls Athletic Park,/api/v1/venues/2541,/api/v1/game/666179/content,,,,,,,,,,,2022-05-15,Sunday,False
665812,791f3762-9208-4e65-93ac-0a7f3ccfbf7b,/api/v1.1/game/665812/feed/live,R,2022,2022-05-17T15:05:00Z,2022-05-17,False,1,True,N,Y,N,44-665812-2022-05-17,2022,day,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,8.0,True,False,7.0,17,20,0.459,234,Durham Bulls,/api/v1/teams/234,4.0,False,False,7.0,20,17,0.541,564,Jacksonville Jumbo Shrimp,/api/v1/teams/564,2852,121 Financial Ballpark,/api/v1/venues/2852,/api/v1/game/665812/content,,,,,,,,,,,2022-05-17,Tuesday,True
666310,49e4c445-f7f2-4318-ad72-5ecbe643231d,/api/v1.1/game/666310/feed/live,R,2022,2022-05-17T22:05:00Z,2022-05-17,False,1,True,N,Y,N,44-666310-2022-05-17,2022,night,9,False,120.0,5.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,3.0,False,False,7.0,13,23,0.361,552,Syracuse Mets,/api/v1/teams/552,9.0,True,False,7.0,21,16,0.568,422,Buffalo Bisons,/api/v1/teams/422,2756,Sahlen Field,/api/v1/venues/2756,/api/v1/game/666310/content,,,,,,,,,,,2022-05-17,Tuesday,True
665920,59fc37ba-8668-407b-9327-dbbe4c80a191,/api/v1.1/game/665920/feed/live,R,2022,2022-05-17T22:35:00Z,2022-05-17,False,1,True,N,Y,N,44-665920-2022-05-17,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,0.0,False,False,7.0,19,16,0.543,512,Toledo Mud Hens,/api/v1/teams/512,7.0,True,False,7.0,18,17,0.514,484,Indianapolis Indians,/api/v1/teams/484,2858,Victory Field,/api/v1/venues/2858,/api/v1/game/665920/content,,,,,,,,,,,2022-05-17,Tuesday,True
666281,404422c5-2d79-459c-86bf-ec336b2f6c63,/api/v1.1/game/666281/feed/live,R,2022,2022-05-17T22:35:00Z,2022-05-17,False,1,True,N,E,N,44-666281-2022-05-17,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,4.0,True,False,7.0,16,21,0.432,568,Norfolk Tides,/api/v1/teams/568,1.0,False,False,7.0,15,22,0.405,494,Charlotte Knights,/api/v1/teams/494,4670,Truist Field,/api/v1/venues/4670,/api/v1/game/666281/content,,,,,,,,,,,2022-05-17,Tuesday,True
664384,f4be9468-656d-4c64-87e9-4140c2cd77d2,/api/v1.1/game/664384/feed/live,R,2022,2022-05-17T22:45:00Z,2022-05-17,False,1,True,N,Y,N,44-664384-2022-05-17,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,3.0,False,False,7.0,13,23,0.361,531,Scranton/Wilkes-Barre RailRiders,/api/v1/teams/531,4.0,True,False,7.0,16,21,0.432,533,Worcester Red Sox,/api/v1/teams/533,5410,Polar Park,/api/v1/venues/5410,/api/v1/game/664384/content,,,,,,,,,,,2022-05-17,Tuesday,True
666024,36dc76fd-ae3a-412c-9434-9d36c983ad85,/api/v1.1/game/666024/feed/live,R,2022,2022-05-17T23:05:00Z,2022-05-17,False,1,True,N,Y,N,44-666024-2022-05-17,2022,night,9,False,120.0,6.0,1.0,Regular Season,S,N,Normal Game,Final,F,Final,F,False,F,8.0,True,False,7.0,21,16,0.568,235,Memphis Redbirds,/api/v1/teams/235,2.0,False,False,7.0,17,20,0.459,431,Gwinnett Stripers,/api/v1/teams/431,3810,Coolray Field,/api/v1/venues/3810,/api/v1/game/666024/content,,,,,,,,,,,2022-05-17,Tuesday,True
