game_pk,gameGuid,link,gameType,season,gameDate,officialDate,isTie,gameNumber,publicFacing,doubleHeader,gamedayType,tiebreaker,calendarEventID,seasonDisplay,dayNight,scheduledInnings,reverseHomeAwayStatus,inningBreakLength,gamesInSeries,seriesGameNumber,seriesDescription,recordSource,ifNecessary,ifNecessaryDescription,rescheduledFrom,rescheduledFromDate,description,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,status.abstractGameCode,teams.away.score,teams.away.isWinner,teams.away.splitSquad,teams.away.seriesNumber,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.pct,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.isWinner,teams.home.splitSquad,teams.home.seriesNumber,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.pct,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link,status.reason,rescheduleDate,rescheduleGameDate,resumeDate,resumeGameDate,resumedFrom,resumedFromDate,game_date,day_of_week,robot_umpire
723524,d4676665-967f-4904-a597-3b3267500047,/api/v1.1/game/723524/feed/live,R,2023,2023-05-26T23:05:00Z,2023-05-26,False,1,True,N,E,N,44-723524-2023-05-26,2023,night,9,False,120,6.0,4.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,7.0,True,False,9.0,25,24,0.51,494,Charlotte Knights,/api/v1/teams/494,1.0,False,False,9.0,21,26,0.447,564,Jacksonville Jumbo Shrimp,/api/v1/teams/564,2852,121 Financial Ballpark,/api/v1/venues/2852,/api/v1/game/723524/content,,,,,,,,2023-05-26,Friday,False
723457,0bfa6417-5ff4-4e66-98b5-5ba28bfe360f,/api/v1.1/game/723457/feed/live,R,2023,2023-05-26T23:05:00Z,2023-05-26,False,1,True,N,E,N,44-723457-2023-05-26,2023,night,9,False,120,6.0,4.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,3.0,False,False,9.0,23,26,0.469,422,Buffalo Bisons,/api/v1/teams/422,7.0,True,False,9.0,24,24,0.5,1410,Lehigh Valley IronPigs,/api/v1/teams/1410,3230,Coca-Cola Park,/api/v1/venues/3230,/api/v1/game/723457/content,,,,,,,,2023-05-26,Friday,False
723227,ff41067d-29b6-4a2b-bb92-94cd58081aa7,/api/v1.1/game/723227/feed/live,R,2023,2023-05-26T23:35:00Z,2023-05-26,False,1,True,N,E,N,44-723227-2023-05-26,2023,night,9,False,120,6.0,4.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,4.0,False,False,9.0,27,19,0.587,451,Iowa Cubs,/api/v1/teams/451,7.0,True,False,9.0,25,23,0.521,556,Nashville Sounds,/api/v1/teams/556,4715,First Horizon Park,/api/v1/venues/4715,/api/v1/game/723227/content,,,,,,,,2023-05-26,Friday,False
723303,cb6771c1-4bbe-45e2-83cf-03877d4803a9,/api/v1.1/game/723303/feed/live,R,2023,2023-05-27T00:05:00Z,2023-05-26,False,1,True,N,E,N,44-723303-2023-05-26,2023,night,9,False,120,6.0,4.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,7.0,True,False,9.0,34,14,0.708,568,Norfolk Tides,/api/v1/teams/568,2.0,False,False,9.0,26,23,0.531,235,Memphis Redbirds,/api/v1/teams/235,2542,AutoZone Park,/api/v1/venues/2542,/api/v1/game/723303/content,,,,,,,,2023-05-26,Friday,False
721410,968e8485-ff97-4f82-abe4-922928595d90,/api/v1.1/game/721410/feed/live,R,2023,2023-05-27T00:05:00Z,2023-05-26,False,1,True,N,E,N,44-721410-2023-05-26,2023,night,9,False,120,6.0,4.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,2.0,False,False,9.0,21,28,0.429,561,Salt Lake Bees,/api/v1/teams/561,11.0,True,False,9.0,21,27,0.438,5434,Sugar Land Space Cowboys,/api/v1/teams/5434,5421,Constellation Field,/api/v1/venues/5421,/api/v1/game/721410/content,,,,,,,,2023-05-26,Friday,False
722857,50cccd65-c632-42dd-8f86-1e40b7a1a224,/api/v1.1/game/722857/feed/live,R,2023,2023-05-27T00:07:00Z,2023-05-26,False,1,True,N,E,N,44-722857-2023-05-26,2023,night,9,False,120,6.0,4.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,6.0,True,False,9.0,21,26,0.447,541,Omaha Storm Chasers,/api/v1/teams/541,4.0,False,False,9.0,25,22,0.532,1960,St. Paul Saints,/api/v1/teams/1960,5472,CHS Field,/api/v1/venues/5472,/api/v1/game/722857/content,,,,,,,,2023-05-26,Friday,False
722006,9c041b32-eeca-4720-9b21-c9fbeedd3f51,/api/v1.1/game/722006/feed/live,R,2023,2023-05-27T00:35:00Z,2023-05-26,False,1,True,N,E,N,44-722006-2023-05-26,2023,night,9,False,120,6.0,4.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,1.0,False,False,9.0,25,23,0.521,102,Round Rock Express,/api/v1/teams/102,4.0,True,False,9.0,22,27,0.449,342,Albuquerque Isotopes,/api/v1/teams/342,2683,Isotopes Park,/api/v1/venues/2683,/api/v1/game/722006/content,,,,,,,,2023-05-26,Friday,False
721934,e60aa698-1acc-43be-a998-96d6e9048289,/api/v1.1/game/721934/feed/live,R,2023,2023-05-27T00:35:00Z,2023-05-26,False,1,True,N,E,N,44-721934-2023-05-26,2023,night,9,False,120,6.0,4.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,3.0,False,False,9.0,29,20,0.592,2310,Reno Aces,/api/v1/teams/2310,8.0,True,False,9.0,22,27,0.449,4904,El Paso Chihuahuas,/api/v1/teams/4904,4669,Southwest University Park,/api/v1/venues/4669,/api/v1/game/721934/content,,,,,,,,2023-05-26,Friday,False
721557,5e6e0e68-3fa0-489b-87aa-b2c1cd5a22b2,/api/v1.1/game/721557/feed/live,R,2023,2023-05-27T01:45:00Z,2023-05-26,False,1,True,N,E,N,44-721557-2023-05-26,2023,night,9,False,120,6.0,4.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,5.0,True,False,9.0,36,13,0.735,238,Oklahoma City Dodgers,/api/v1/teams/238,4.0,False,False,9.0,22,27,0.449,105,Sacramento River Cats,/api/v1/teams/105,2529,Sutter Health Park,/api/v1/venues/2529,/api/v1/game/721557/content,,,,,,,,2023-05-26,Friday,False
725158,6dabee02-1430-43ee-9b47-1e9a82014666,/api/v1.1/game/725158/feed/live,R,2023,2023-05-27T02:05:00Z,2023-05-26,False,1,True,N,E,N,44-725158-2023-05-26,2023,night,9,False,120,6.0,4.0,Regular Season,S,N,Normal Game,,,,Final,F,Final,F,False,F,14.0,True,False,9.0,23,26,0.469,400,Las Vegas Aviators,/api/v1/teams/400,13.0,False,False,9.0,23,26,0.469,529,Tacoma Rainiers,/api/v1/teams/529,2745,Cheney Stadium,/api/v1/venues/2745,/api/v1/game/725158/content,,,,,,,,2023-05-26,Friday,False
